"Area,""Area Id"",""Variable Name"",""Variable Id"",""Year"",""Value"",""Symbol"",""Md"""	
"Brazil,21,""Rural population"",4105,1982,41171.0,""E"","""","""""	
"Brazil,21,""Rural population"",4105,1987,39868.0,""E"","""","""""	
"Brazil,21,""Rural population"",4105,1992,37929.0,""E"","""","""""	
"Brazil,21,""Rural population"",4105,1997,35594.0,""E"","""","""""	
"Brazil,21,""Rural population"",4105,2002,33263.0,""E"","""","""""	
"Brazil,21,""Rural population"",4105,2007,32478.0,""E"","""","""""	
"Brazil,21,""Rural population"",4105,2012,31899.0,""E"","""","""""	
"Brazil,21,""Rural population"",4105,2017,31119.0,""E"","""","""""	
"Brazil,21,""Urban population"",4106,1962,37174.0,""E"","""","""""	
"Brazil,21,""Urban population"",4106,1967,47192.0,""E"","""","""""	
"Brazil,21,""Urban population"",4106,1972,58349.0,""E"","""","""""	
"Brazil,21,""Urban population"",4106,1977,71124.0,""E"","""","""""	
"Brazil,21,""Urban population"",4106,1982,85776.0,""E"","""","""""	
"Brazil,21,""Urban population"",4106,1987,101405.0,""E"","""","""""	
"Brazil,21,""Urban population"",4106,1992,116635.0,""E"","""","""""	
"Brazil,21,""Urban population"",4106,1997,131951.0,""E"","""","""""	
"Brazil,21,""Urban population"",4106,2002,146888.0,""E"","""","""""	
"Brazil,21,""Urban population"",4106,2007,158549.0,""E"","""","""""	
"Brazil,21,""Urban population"",4106,2012,168662.0,""E"","""","""""	
"Brazil,21,""Urban population"",4106,2017,178169.0,""E"","""","""""	
"Brazil,21,""Population density"",4107,1962,8.992,""E"","""","""""	
"Brazil,21,""Population density"",4107,1967,10.36,""E"","""","""""	
"Brazil,21,""Population density"",4107,1972,11.76,""E"","""","""""	
"Brazil,21,""Population density"",4107,1977,13.25,""E"","""","""""	
"Brazil,21,""Population density"",4107,1982,14.91,""E"","""","""""	
"Brazil,21,""Population density"",4107,1987,16.59,""E"","""","""""	
"Brazil,21,""Population density"",4107,1992,18.15,""E"","""","""""	
"Brazil,21,""Population density"",4107,1997,19.67,""E"","""","""""	
"Brazil,21,""Population density"",4107,2002,21.15,""E"","""","""""	
"Brazil,21,""Population density"",4107,2007,22.43,""E"","""","""""	
"Brazil,21,""Population density"",4107,2012,23.55,""E"","""","""""	
"Brazil,21,""Population density"",4107,2017,24.58,""E"","""","""""	
"Brazil,21,""Gross Domestic Product (GDP)"",4112,1962,1.9926293839E10,""E"","""","""""	
"Brazil,21,""Gross Domestic Product (GDP)"",4112,1967,3.0591834054E10,""E"","""","""""	
"Brazil,21,""Gross Domestic Product (GDP)"",4112,1972,5.8539008786E10,""E"","""","""""	
"Brazil,21,""Gross Domestic Product (GDP)"",4112,1977,1.76E11,""E"","""","""""	
"Brazil,21,""Gross Domestic Product (GDP)"",4112,1982,2.82E11,""E"","""","""""	
"Brazil,21,""Gross Domestic Product (GDP)"",4112,1987,2.94E11,""E"","""","""""	
"Brazil,21,""Gross Domestic Product (GDP)"",4112,1992,4.01E11,""E"","""","""""	
"Brazil,21,""Gross Domestic Product (GDP)"",4112,1997,8.83E11,""E"","""","""""	
"Brazil,21,""Gross Domestic Product (GDP)"",4112,2002,5.08E11,""E"","""","""""	
"Brazil,21,""Gross Domestic Product (GDP)"",4112,2007,1.4E12,""E"","""","""""	
"Brazil,21,""Gross Domestic Product (GDP)"",4112,2012,2.46E12,""E"","""","""""	
"Brazil,21,""Gross Domestic Product (GDP)"",4112,2015,1.77E12,""E"","""","""""	
"Brazil,21,""GDP per capita"",4458,1962,260.2,""E"","""","""""	
"Brazil,21,""GDP per capita"",4458,1967,346.9,""E"","""","""""	
"Brazil,21,""GDP per capita"",4458,1972,584.5,""E"","""","""""	
"Brazil,21,""GDP per capita"",4458,1977,1559.0,""E"","""","""""	
"Brazil,21,""GDP per capita"",4458,1982,2221.0,""E"","""","""""	
"Brazil,21,""GDP per capita"",4458,1987,2081.0,""E"","""","""""	
"Brazil,21,""GDP per capita"",4458,1992,2594.0,""E"","""","""""	
"Brazil,21,""GDP per capita"",4458,1997,5270.0,""E"","""","""""	
"Brazil,21,""GDP per capita"",4458,2002,2820.0,""E"","""","""""	
"Brazil,21,""GDP per capita"",4458,2007,7329.0,""E"","""","""""	
"Brazil,21,""GDP per capita"",4458,2012,12266.0,""E"","""","""""	
"Brazil,21,""GDP per capita"",4458,2015,8457.0,""E"","""","""""	
"Brazil,21,""Agriculture, value added (% GDP)"",4113,1962,17.35,""E"","""","""""	
"Brazil,21,""Agriculture, value added (% GDP)"",4113,1967,15.11,""E"","""","""""	
"Brazil,21,""Agriculture, value added (% GDP)"",4113,1972,12.99,""E"","""","""""	
"Brazil,21,""Agriculture, value added (% GDP)"",4113,1977,14.67,""E"","""","""""	
"Brazil,21,""Agriculture, value added (% GDP)"",4113,1982,8.968,""E"","""","""""	
"Brazil,21,""Agriculture, value added (% GDP)"",4113,1987,10.01,""E"","""","""""	
"Brazil,21,""Agriculture, value added (% GDP)"",4113,1992,7.72,""E"","""","""""	
"Brazil,21,""Agriculture, value added (% GDP)"",4113,1997,5.331,""E"","""","""""	
"Brazil,21,""Agriculture, value added (% GDP)"",4113,2002,6.417,""E"","""","""""	
"Brazil,21,""Agriculture, value added (% GDP)"",4113,2007,5.18,""E"","""","""""	
"Brazil,21,""Agriculture, value added (% GDP)"",4113,2012,4.912,""E"","""","""""	
"Brazil,21,""Agriculture, value added (% GDP)"",4113,2015,5.215,""E"","""","""""	
"Brazil,21,""Human Development Index (HDI) [highest = 1]"",4111,1990,0.608,""E"","""","""""	
"Brazil,21,""Human Development Index (HDI) [highest = 1]"",4111,2000,0.6834,""E"","""","""""	
"Brazil,21,""Human Development Index (HDI) [highest = 1]"",4111,2012,0.7465,""E"","""","""""	
"Brazil,21,""Human Development Index (HDI) [highest = 1]"",4111,2014,0.7553,""E"","""","""""	
"Brazil,21,""Gender Inequality Index (GII) [equality = 0"	
"Brazil,21,""Gender Inequality Index (GII) [equality = 0"	
"Brazil,21,""Gender Inequality Index (GII) [equality = 0"	" inequality = 1)"",4537,2000,0.515,""E"","""","""""
"Brazil,21,""Gender Inequality Index (GII) [equality = 0"	" inequality = 1)"",4537,2005,0.473,""E"","""","""""
"Brazil,21,""Prevalence of undernourishment (3-year average)"",4474,1992,14.8,""E"","""","""""	" inequality = 1)"",4537,2010,0.446,""E"","""","""""
"Brazil,21,""Prevalence of undernourishment (3-year average)"",4474,1997,13.6,""E"","""","""""	" inequality = 1)"",4537,2014,0.4569,""E"","""","""""
"Brazil,21,""Prevalence of undernourishment (3-year average)"",4474,2002,11.2,""E"","""","""""	
"Brazil,21,""Prevalence of undernourishment (3-year average)"",4474,2005,6.1,""E"","""","""""	
"Brazil,21,""Number of people undernourished (3-year average)"",4473,1992,22600.0,""E"","""","""""	
"Brazil,21,""Number of people undernourished (3-year average)"",4473,1997,22300.0,""E"","""","""""	
"Brazil,21,""Number of people undernourished (3-year average)"",4473,2002,19900.0,""E"","""","""""	
"Brazil,21,""Number of people undernourished (3-year average)"",4473,2005,11100.0,""E"","""","""""	
"Brazil,21,""Long-term average annual precipitation in depth"",4151,1962,1761.0,"""",""[1,2]"","""""	
"Brazil,21,""Long-term average annual precipitation in depth"",4151,1967,1761.0,"""",""[3,4]"","""""	
"Brazil,21,""Long-term average annual precipitation in depth"",4151,1972,1761.0,"""",""[5,6]"","""""	
"Brazil,21,""Long-term average annual precipitation in depth"",4151,1977,1761.0,"""",""[7,8]"","""""	
"Brazil,21,""Long-term average annual precipitation in depth"",4151,1982,1761.0,"""",""[9,10]"","""""	
"Brazil,21,""Long-term average annual precipitation in depth"",4151,1987,1761.0,"""",""[11,12]"","""""	
"Brazil,21,""Long-term average annual precipitation in depth"",4151,1992,1761.0,"""",""[13,14]"","""""	
"Brazil,21,""Long-term average annual precipitation in depth"",4151,1997,1761.0,"""",""[15,16]"","""""	
"Brazil,21,""Long-term average annual precipitation in depth"",4151,2002,1761.0,"""",""[17,18]"","""""	
"Brazil,21,""Long-term average annual precipitation in depth"",4151,2007,1761.0,"""",""[19,20]"","""""	
"Brazil,21,""Long-term average annual precipitation in depth"",4151,2012,1761.0,"""",""[21,22]"","""""	
"Brazil,21,""Long-term average annual precipitation in depth"",4151,2017,1761.0,"""","""","""""	
"Brazil,21,""Long-term average annual precipitation in volume"",4150,1962,14995.0,"""","""","""""	
"Brazil,21,""Long-term average annual precipitation in volume"",4150,1967,14995.0,"""","""","""""	
"Brazil,21,""Long-term average annual precipitation in volume"",4150,1972,14995.0,"""","""","""""	
"Brazil,21,""Long-term average annual precipitation in volume"",4150,1977,14995.0,"""","""","""""	
"Brazil,21,""Long-term average annual precipitation in volume"",4150,1982,14995.0,"""","""","""""	
"Brazil,21,""Long-term average annual precipitation in volume"",4150,1987,14995.0,"""","""","""""	
"Brazil,21,""Long-term average annual precipitation in volume"",4150,1992,14995.0,"""","""","""""	
"Brazil,21,""Long-term average annual precipitation in volume"",4150,1997,14995.0,"""","""","""""	
"Brazil,21,""Long-term average annual precipitation in volume"",4150,2002,14995.0,"""","""","""""	
"Brazil,21,""Long-term average annual precipitation in volume"",4150,2007,14995.0,"""","""","""""	
"Brazil,21,""Long-term average annual precipitation in volume"",4150,2012,14995.0,"""","""","""""	
"Brazil,21,""Long-term average annual precipitation in volume"",4150,2017,14995.0,"""","""","""""	
"Brazil,21,""National Rainfall Index (NRI)"",4472,1967,1888.0,""E"","""","""""	
"Brazil,21,""National Rainfall Index (NRI)"",4472,1970,1875.0,""E"","""","""""	
"Brazil,21,""National Rainfall Index (NRI)"",4472,1975,2033.0,""E"","""","""""	
"Brazil,21,""National Rainfall Index (NRI)"",4472,1979,1986.0,""E"","""","""""	
"Brazil,21,""National Rainfall Index (NRI)"",4472,1984,1959.0,""E"","""","""""	
"Brazil,21,""National Rainfall Index (NRI)"",4472,1990,1989.0,""E"","""","""""	
"Brazil,21,""National Rainfall Index (NRI)"",4472,1995,1911.0,""E"","""","""""	
"Brazil,21,""National Rainfall Index (NRI)"",4472,2000,1934.0,""E"","""","""""	
"Brazil,21,""Surface water produced internally"",4155,1962,5661.0,"""",""[23]"","""""	
"Brazil,21,""Surface water produced internally"",4155,1967,5661.0,"""",""[24]"","""""	
"Brazil,21,""Surface water produced internally"",4155,1972,5661.0,"""",""[25]"","""""	
"Brazil,21,""Surface water produced internally"",4155,1977,5661.0,"""",""[26]"","""""	
"Brazil,21,""Surface water produced internally"",4155,1982,5661.0,"""",""[27]"","""""	
"Brazil,21,""Surface water produced internally"",4155,1987,5661.0,"""",""[28]"","""""	
"Brazil,21,""Surface water produced internally"",4155,1992,5661.0,"""",""[29]"","""""	
"Brazil,21,""Surface water produced internally"",4155,1997,5661.0,"""",""[30]"","""""	
"Brazil,21,""Surface water produced internally"",4155,2002,5661.0,"""",""[31]"","""""	
"Brazil,21,""Surface water produced internally"",4155,2007,5661.0,"""",""[32]"","""""	
"Brazil,21,""Surface water produced internally"",4155,2012,5661.0,"""",""[33]"","""""	
"Brazil,21,""Surface water produced internally"",4155,2017,5661.0,"""","""","""""	
"Brazil,21,""Groundwater produced internally"",4154,1962,645.6,"""","""","""""	
"Brazil,21,""Groundwater produced internally"",4154,1967,645.6,"""","""","""""	
"Brazil,21,""Groundwater produced internally"",4154,1972,645.6,"""","""","""""	
"Brazil,21,""Groundwater produced internally"",4154,1977,645.6,"""","""","""""	
"Brazil,21,""Groundwater produced internally"",4154,1982,645.6,"""","""","""""	
"Brazil,21,""Groundwater produced internally"",4154,1987,645.6,"""","""","""""	
"Brazil,21,""Groundwater produced internally"",4154,1992,645.6,"""","""","""""	
"Brazil,21,""Groundwater produced internally"",4154,1997,645.6,"""","""","""""	
"Brazil,21,""Groundwater produced internally"",4154,2002,645.6,"""","""","""""	
"Brazil,21,""Groundwater produced internally"",4154,2007,645.6,"""","""","""""	
"Brazil,21,""Groundwater produced internally"",4154,2012,645.6,"""","""","""""	
"Brazil,21,""Groundwater produced internally"",4154,2017,645.6,"""","""","""""	
"Brazil,21,""Overlap between surface water and groundwater"",4156,1962,645.6,"""","""","""""	
"Brazil,21,""Overlap between surface water and groundwater"",4156,1967,645.6,"""","""","""""	
"Brazil,21,""Overlap between surface water and groundwater"",4156,1972,645.6,"""","""","""""	
"Brazil,21,""Overlap between surface water and groundwater"",4156,1977,645.6,"""","""","""""	
"Brazil,21,""Overlap between surface water and groundwater"",4156,1982,645.6,"""","""","""""	
"Brazil,21,""Overlap between surface water and groundwater"",4156,1987,645.6,"""","""","""""	
"Brazil,21,""Overlap between surface water and groundwater"",4156,1992,645.6,"""","""","""""	
"Brazil,21,""Overlap between surface water and groundwater"",4156,1997,645.6,"""","""","""""	
"Brazil,21,""Overlap between surface water and groundwater"",4156,2002,645.6,"""","""","""""	
"Brazil,21,""Overlap between surface water and groundwater"",4156,2007,645.6,"""","""","""""	
"Brazil,21,""Overlap between surface water and groundwater"",4156,2012,645.6,"""","""","""""	
"Brazil,21,""Overlap between surface water and groundwater"",4156,2017,645.6,"""","""","""""	
"Brazil,21,""Total internal renewable water resources (IRWR)"",4157,1962,5661.0,"""","""","""""	
"Brazil,21,""Total internal renewable water resources (IRWR)"",4157,1967,5661.0,"""","""","""""	
"Brazil,21,""Total internal renewable water resources (IRWR)"",4157,1972,5661.0,"""","""","""""	
"Brazil,21,""Total internal renewable water resources (IRWR)"",4157,1977,5661.0,"""","""","""""	
"Brazil,21,""Total internal renewable water resources (IRWR)"",4157,1982,5661.0,"""","""","""""	
"Brazil,21,""Total internal renewable water resources (IRWR)"",4157,1987,5661.0,"""","""","""""	
"Brazil,21,""Total internal renewable water resources (IRWR)"",4157,1992,5661.0,"""","""","""""	
"Brazil,21,""Total internal renewable water resources (IRWR)"",4157,1997,5661.0,"""","""","""""	
"Brazil,21,""Total internal renewable water resources (IRWR)"",4157,2002,5661.0,"""","""","""""	
"Brazil,21,""Total internal renewable water resources (IRWR)"",4157,2007,5661.0,"""","""","""""	
"Brazil,21,""Total internal renewable water resources (IRWR)"",4157,2012,5661.0,"""","""","""""	
"Brazil,21,""Total internal renewable water resources (IRWR)"",4157,2017,5661.0,"""","""","""""	
"Brazil,21,""Total internal renewable water resources per capita"",4158,1962,73929.0,""K"","""","""""	
"Brazil,21,""Total internal renewable water resources per capita"",4158,1967,64190.0,""K"","""","""""	
"Brazil,21,""Total internal renewable water resources per capita"",4158,1972,56529.0,""K"","""","""""	
"Brazil,21,""Total internal renewable water resources per capita"",4158,1977,50156.0,""K"","""","""""	
"Brazil,21,""Total internal renewable water resources per capita"",4158,1982,44593.0,""K"","""","""""	
"Brazil,21,""Total internal renewable water resources per capita"",4158,1987,40071.0,""K"","""","""""	
"Brazil,21,""Total internal renewable water resources per capita"",4158,1992,36626.0,""K"","""","""""	
"Brazil,21,""Total internal renewable water resources per capita"",4158,1997,33788.0,""K"","""","""""	
"Brazil,21,""Total internal renewable water resources per capita"",4158,2002,31424.0,""K"","""","""""	
"Brazil,21,""Total internal renewable water resources per capita"",4158,2007,29635.0,""K"","""","""""	
"Brazil,21,""Total internal renewable water resources per capita"",4158,2012,28226.0,""K"","""","""""	
"Brazil,21,""Total internal renewable water resources per capita"",4158,2017,27049.0,""K"","""","""""	
"Brazil,21,""Surface water: entering the country (total)"",4159,1962,2986.0,"""",""[34,35]"","""""	
"Brazil,21,""Surface water: entering the country (total)"",4159,1967,2986.0,"""",""[36,37]"","""""	
"Brazil,21,""Surface water: entering the country (total)"",4159,1972,2986.0,"""",""[38,39]"","""""	
"Brazil,21,""Surface water: entering the country (total)"",4159,1977,2986.0,"""",""[40,41]"","""""	
"Brazil,21,""Surface water: entering the country (total)"",4159,1982,2986.0,"""",""[42,43]"","""""	
"Brazil,21,""Surface water: entering the country (total)"",4159,1987,2986.0,"""",""[44,45]"","""""	
"Brazil,21,""Surface water: entering the country (total)"",4159,1992,2986.0,"""",""[46,47]"","""""	
"Brazil,21,""Surface water: entering the country (total)"",4159,1997,2986.0,"""",""[48,49]"","""""	
"Brazil,21,""Surface water: entering the country (total)"",4159,2002,2986.0,"""",""[50,51]"","""""	
"Brazil,21,""Surface water: entering the country (total)"",4159,2007,2986.0,"""",""[52,53]"","""""	
"Brazil,21,""Surface water: entering the country (total)"",4159,2012,2986.0,"""",""[54,55]"","""""	
"Brazil,21,""Surface water: entering the country (total)"",4159,2017,2986.0,"""","""","""""	
"Brazil,21,""Surface water: inflow not submitted to treaties"",4160,1962,2986.0,"""","""","""""	
"Brazil,21,""Surface water: inflow not submitted to treaties"",4160,1967,2986.0,"""","""","""""	
"Brazil,21,""Surface water: inflow not submitted to treaties"",4160,1972,2986.0,"""","""","""""	
"Brazil,21,""Surface water: inflow not submitted to treaties"",4160,1977,2986.0,"""","""","""""	
"Brazil,21,""Surface water: inflow not submitted to treaties"",4160,1982,2986.0,"""","""","""""	
"Brazil,21,""Surface water: inflow not submitted to treaties"",4160,1987,2986.0,"""","""","""""	
"Brazil,21,""Surface water: inflow not submitted to treaties"",4160,1992,2986.0,"""","""","""""	
"Brazil,21,""Surface water: inflow not submitted to treaties"",4160,1997,2986.0,"""","""","""""	
