,Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Refugees under UNHCR’s mandate,Asylum-seekers,IDPs of concern to UNHCR,Venezuelans displaced abroad,Stateless persons,Others of concern
92,2007,Brazil,BRA,Switzerland,CHE,5,0,0,,0,0
93,2007,Brazil,BRA,United States of America,USA,501,197,0,,0,0
94,2008,Brazil,BRA,Australia,AUS,10,0,0,,0,0
95,2008,Brazil,BRA,Canada,CAN,176,154,0,,0,0
96,2008,Brazil,BRA,France,FRA,9,0,0,,0,0
97,2008,Brazil,BRA,Germany,DEU,658,0,0,,0,0
98,2008,Brazil,BRA,Ireland,IRL,5,15,0,,0,0
99,2008,Brazil,BRA,Italy,ITA,5,0,0,,0,0
100,2008,Brazil,BRA,Netherlands,NLD,5,0,0,,0,0
101,2008,Brazil,BRA,Switzerland,CHE,5,0,0,,0,0
102,2008,Brazil,BRA,United States of America,USA,528,189,0,,0,0
103,2009,Brazil,BRA,Australia,AUS,9,0,0,,0,0
104,2009,Brazil,BRA,Canada,CAN,168,178,0,,0,0
105,2009,Brazil,BRA,Ecuador,ECU,0,5,0,,0,0
106,2009,Brazil,BRA,France,FRA,9,0,0,,0,0
107,2009,Brazil,BRA,United Kingdom of Great Britain and Northern Ireland,GBR,5,0,0,,0,0
108,2009,Brazil,BRA,Germany,DEU,163,0,0,,0,0
109,2009,Brazil,BRA,Ireland,IRL,5,0,0,,0,0
110,2009,Brazil,BRA,Italy,ITA,10,0,0,,0,0
111,2009,Brazil,BRA,Netherlands,NLD,5,0,0,,0,0
112,2009,Brazil,BRA,New Zealand,NZL,0,5,0,,0,0
113,2009,Brazil,BRA,Sweden,SWE,0,5,0,,0,0
114,2009,Brazil,BRA,Switzerland,CHE,6,0,0,,0,0
115,2009,Brazil,BRA,United States of America,USA,593,166,0,,0,0
116,2010,Brazil,BRA,Australia,AUS,8,5,0,,0,0
117,2010,Brazil,BRA,Canada,CAN,168,179,0,,0,0
118,2010,Brazil,BRA,Ecuador,ECU,0,11,0,,0,0
119,2010,Brazil,BRA,France,FRA,8,0,0,,0,0
120,2010,Brazil,BRA,United Kingdom of Great Britain and Northern Ireland,GBR,8,0,0,,0,0
121,2010,Brazil,BRA,Germany,DEU,143,0,0,,0,0
122,2010,Brazil,BRA,Ireland,IRL,5,10,0,,0,0
123,2010,Brazil,BRA,Italy,ITA,11,0,0,,0,0
124,2010,Brazil,BRA,Netherlands,NLD,5,0,0,,0,0
125,2010,Brazil,BRA,New Zealand,NZL,0,5,0,,0,0
126,2010,Brazil,BRA,Switzerland,CHE,7,0,0,,0,0
127,2010,Brazil,BRA,United States of America,USA,628,31,0,,0,0
128,2011,Brazil,BRA,Australia,AUS,7,10,0,,0,0
129,2011,Brazil,BRA,Canada,CAN,169,95,0,,0,0
130,2011,Brazil,BRA,Ecuador,ECU,0,5,0,,0,0
131,2011,Brazil,BRA,France,FRA,8,0,0,,0,0
132,2011,Brazil,BRA,United Kingdom of Great Britain and Northern Ireland,GBR,9,21,0,,0,0
133,2011,Brazil,BRA,Germany,DEU,159,5,0,,0,0
134,2011,Brazil,BRA,Ireland,IRL,5,12,0,,0,0
135,2011,Brazil,BRA,Italy,ITA,11,0,0,,0,0
136,2011,Brazil,BRA,Japan,JPN,0,5,0,,0,0
137,2011,Brazil,BRA,Norway,NOR,0,10,0,,0,0
138,2011,Brazil,BRA,Sweden,SWE,5,0,0,,0,0
139,2011,Brazil,BRA,Switzerland,CHE,5,0,0,,0,0
140,2011,Brazil,BRA,United States of America,USA,662,36,0,,0,0
141,2012,Brazil,BRA,Australia,AUS,6,10,0,,0,0
142,2012,Brazil,BRA,Canada,CAN,175,73,0,,0,0
143,2012,Brazil,BRA,Ecuador,ECU,5,0,0,,0,0
144,2012,Brazil,BRA,France,FRA,8,0,0,,0,0
145,2012,Brazil,BRA,United Kingdom of Great Britain and Northern Ireland,GBR,9,16,0,,0,0
146,2012,Brazil,BRA,Germany,DEU,163,5,0,,0,0
147,2012,Brazil,BRA,Ireland,IRL,5,13,0,,0,0
148,2012,Brazil,BRA,Italy,ITA,12,12,0,,0,0
149,2012,Brazil,BRA,Sweden,SWE,5,0,0,,0,0
150,2012,Brazil,BRA,Switzerland,CHE,6,0,0,,0,0
151,2012,Brazil,BRA,Uruguay,URY,0,5,0,,0,0
152,2012,Brazil,BRA,United States of America,USA,679,110,0,,0,0
153,2013,Brazil,BRA,Australia,AUS,5,5,0,,0,0
154,2013,Brazil,BRA,Canada,CAN,177,25,0,,0,0
155,2013,Brazil,BRA,Ecuador,ECU,5,0,0,,0,0
156,2013,Brazil,BRA,Finland,FIN,0,5,0,,0,0
157,2013,Brazil,BRA,France,FRA,8,5,0,,0,0
158,2013,Brazil,BRA,United Kingdom of Great Britain and Northern Ireland,GBR,12,21,0,,0,0
159,2013,Brazil,BRA,Germany,DEU,66,10,0,,0,0
160,2013,Brazil,BRA,Ireland,IRL,5,15,0,,0,0
161,2013,Brazil,BRA,Italy,ITA,18,5,0,,0,0
162,2013,Brazil,BRA,Sweden,SWE,7,0,0,,0,0
163,2013,Brazil,BRA,Switzerland,CHE,10,0,0,,0,0
164,2013,Brazil,BRA,Uruguay,URY,0,5,0,,0,0
165,2013,Brazil,BRA,United States of America,USA,669,453,0,,0,0
166,2014,Brazil,BRA,Australia,AUS,5,22,0,,0,0
167,2014,Brazil,BRA,Canada,CAN,172,5,0,,0,0
168,2014,Brazil,BRA,Ecuador,ECU,5,0,0,,0,0
169,2014,Brazil,BRA,Finland,FIN,5,5,0,,0,0
170,2014,Brazil,BRA,France,FRA,11,5,0,,0,0
171,2014,Brazil,BRA,United Kingdom of Great Britain and Northern Ireland,GBR,13,15,0,,0,0
172,2014,Brazil,BRA,Germany,DEU,58,16,0,,0,0
173,2014,Brazil,BRA,Ireland,IRL,5,10,0,,0,0
174,2014,Brazil,BRA,Italy,ITA,31,10,0,,0,0
175,2014,Brazil,BRA,Norway,NOR,0,5,0,,0,0
176,2014,Brazil,BRA,Sweden,SWE,7,5,0,,0,0
177,2014,Brazil,BRA,Switzerland,CHE,9,0,0,,0,0
178,2014,Brazil,BRA,United States of America,USA,656,1090,0,,0,0
179,2015,Brazil,BRA,Argentina,ARG,0,5,0,,0,0
180,2015,Brazil,BRA,Australia,AUS,5,15,0,,0,0
181,2015,Brazil,BRA,Canada,CAN,124,30,0,,0,0
182,2015,Brazil,BRA,Costa Rica,CRI,0,5,0,,0,0
183,2015,Brazil,BRA,Ecuador,ECU,5,0,0,,0,0
184,2015,Brazil,BRA,Finland,FIN,5,5,0,,0,0
185,2015,Brazil,BRA,France,FRA,11,5,0,,0,0
186,2015,Brazil,BRA,United Kingdom of Great Britain and Northern Ireland,GBR,14,19,0,,0,0
187,2015,Brazil,BRA,Germany,DEU,35,10,0,,0,0
188,2015,Brazil,BRA,Ireland,IRL,5,5,0,,0,0
189,2015,Brazil,BRA,Italy,ITA,43,27,0,,0,0
190,2015,Brazil,BRA,Japan,JPN,0,5,0,,0,0
191,2015,Brazil,BRA,Spain,ESP,0,5,0,,0,0
192,2015,Brazil,BRA,Sweden,SWE,8,12,0,,0,0
193,2015,Brazil,BRA,Switzerland,CHE,11,0,0,,0,0
194,2015,Brazil,BRA,United States of America,USA,627,2001,0,,0,0
195,2016,Brazil,BRA,Argentina,ARG,0,5,0,,0,0
196,2016,Brazil,BRA,Australia,AUS,5,16,0,,0,0
197,2016,Brazil,BRA,Canada,CAN,63,49,0,,0,0
198,2016,Brazil,BRA,Costa Rica,CRI,0,5,0,,0,0
199,2016,Brazil,BRA,Finland,FIN,5,0,0,,0,0
200,2016,Brazil,BRA,France,FRA,12,0,0,,0,0
201,2016,Brazil,BRA,United Kingdom of Great Britain and Northern Ireland,GBR,14,28,0,,0,0
202,2016,Brazil,BRA,Germany,DEU,29,26,0,,0,0
203,2016,Brazil,BRA,Ireland,IRL,0,35,0,,0,0
204,2016,Brazil,BRA,Italy,ITA,64,82,0,,0,0
205,2016,Brazil,BRA,New Zealand,NZL,0,5,0,,0,0
206,2016,Brazil,BRA,Panama,PAN,0,5,0,,0,0
207,2016,Brazil,BRA,Spain,ESP,0,20,0,,0,0
208,2016,Brazil,BRA,Sweden,SWE,8,0,0,,0,0
209,2016,Brazil,BRA,Switzerland,CHE,9,5,0,,0,0
210,2016,Brazil,BRA,United States of America,USA,594,3478,0,,0,0
211,2017,Brazil,BRA,Argentina,ARG,0,5,0,,0,0
212,2017,Brazil,BRA,Australia,AUS,5,27,0,,0,0
213,2017,Brazil,BRA,Belgium,BEL,0,10,0,,0,0
214,2017,Brazil,BRA,Canada,CAN,64,378,0,,0,0
