"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"THA","CROPYIELD","WHEAT","THND_TONNE","A","1996",0.7,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","1997",0.8,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","1998",0.8,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","1999",0.75,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","2000",0.8,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","2001",0.8,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","2002",0.8,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","2003",0.8,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","2004",0.8,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","2005",0.8,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","2006",1,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","2007",1,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","2008",1,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","2009",1,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","2010",1,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","2011",1,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","2012",1,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","2013",2,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","2014",1,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","2015",1,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","2016",1,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","2017",1.3,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","2018",1.3,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","2019",1,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","2020",1.309,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","2021",1.437,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","2022",1.569,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","2023",1.685,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","2024",1.809,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","2025",1.933,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","2026",2.065,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","2027",2.197,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","2028",2.33,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","2029",2.46,
"KOR","CROPYIELD","WHEAT","THND_TONNE","A","1990",0.889,
"KOR","CROPYIELD","WHEAT","THND_TONNE","A","1991",0.551,
"KOR","CROPYIELD","WHEAT","THND_TONNE","A","1992",0.552,
"KOR","CROPYIELD","WHEAT","THND_TONNE","A","1993",1.483,
"KOR","CROPYIELD","WHEAT","THND_TONNE","A","1994",2.156,
"KOR","CROPYIELD","WHEAT","THND_TONNE","A","1995",10.262,
"KOR","CROPYIELD","WHEAT","THND_TONNE","A","1996",10.923,
"KOR","CROPYIELD","WHEAT","THND_TONNE","A","1997",7.433,
"KOR","CROPYIELD","WHEAT","THND_TONNE","A","1998",4.781,
"KOR","CROPYIELD","WHEAT","THND_TONNE","A","1999",5.626,
"KOR","CROPYIELD","WHEAT","THND_TONNE","A","2000",2.339,
"KOR","CROPYIELD","WHEAT","THND_TONNE","A","2001",2.841,
