Nome: ITABERABA
Codigo Estacao: 83244
Latitude: -12.52416666
Longitude: -40.29972221
Altitude: 250.11
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2019-02-28
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;3;2,5;34,23871;26,230323;18,241935;null;
2008-02-29;9;206,2;33,382759;26,234483;18,413793;6,6;
2008-03-31;9;73,4;31,919355;25,436774;18,332258;5,6;
2008-04-30;6;20,2;32,376667;25,757931;18,441379;5;
2008-05-31;7;12,1;30,916129;24,179355;16,067742;6,3;
2008-06-30;14;39,6;28,78;22,135333;13,98;7,8;
2008-07-31;8;14,3;27,754839;21,046452;12,567742;6,1;
2008-08-31;7;10,9;29,948387;22,346452;13,758065;8,1;
2008-09-30;5;7,8;30,82;23,573333;15,47;7,1;
2008-10-31;2;2,2;33,070968;25,063871;16,716129;8,3;
2008-11-30;5;18,1;33,626667;26,110667;17,896667;6,1;
2008-12-31;10;171,2;31,287097;24,987097;17,703226;4,6;
2009-01-31;9;72,6;32,774194;25,81871;17,719355;6,3;
2009-02-28;8;45,6;33,564286;26,079286;18,053571;6,8;
2009-03-31;3;7;35,441935;27,592903;18,767742;6,3;
2009-04-30;10;88,7;31,913333;25,705333;18,03;4,6;
2009-05-31;5;34,4;30,545161;24,211613;16,122581;5,3;
2009-06-30;10;31,7;29,26;22,539333;13,926667;5;
2009-07-31;7;30,8;29,803226;22,619355;14,012903;5,1;
2009-08-31;9;18,3;30,158065;22,698065;13,851613;6,5;
2009-09-30;4;15,5;32,866667;24,97;17,206667;6,6;
2009-10-31;11;294,6;32,119355;26,075484;21,854839;7;
2009-11-30;3;5,7;32,69;26,36;21,34;6,5;
2009-12-31;7;26,2;33,793548;26,742581;20,1;4,8;
2010-01-31;10;48,4;33,987097;26,167742;18,293548;4,6;
2010-02-28;6;38,7;34,785714;27,667143;22,760714;null;
2010-03-31;12;306,3;32,874194;26,914839;22,209677;null;
2010-04-30;10;62,2;31,123333;25,825333;21,853333;null;
2010-05-31;9;28,2;32,067742;25,618065;20,845161;null;
2010-06-30;5;2,5;29,996667;23,721333;18,23;5,8;
2010-07-31;21;86,8;28,254839;22,345161;17,732258;5,6;
2010-08-31;11;19,6;28,280645;21,867742;16,329032;7;
2010-09-30;10;13,9;30,676667;23,616;18,583333;7,4;
2010-10-31;6;54,8;33,254839;26,198065;21,016129;9,2;
2010-11-30;5;3,8;33,263333;26,63;21,513333;6,5;
2010-12-31;7;57,6;33,103226;26,637419;21,429032;6;
2011-01-31;14;51,6;32,587097;26,051613;21,109677;5,1;
2011-02-28;9;11;34,507143;27,220714;21,660714;6,5;
2011-03-31;11;31,2;34,845161;27,898065;22,545161;5,1;
2011-04-30;13;40,7;32,053333;26,067333;20,96;6;
2011-05-31;9;12,4;30,058065;24,394839;18,96129;null;
2011-06-30;4;9,1;29,993333;23,606667;17,846667;null;
2011-07-31;13;38,5;28,716129;22,298065;16,380645;null;
2011-08-31;7;18,5;30,070968;23,345161;17,432258;null;
2011-09-30;7;15,3;29,74;23,149333;17,006667;null;
2011-10-31;7;12,2;31,658065;25,16129;19,935484;null;
2011-11-30;7;94,2;30,74;24,876;19,906667;null;
2011-12-31;6;103,7;32,658065;26,070323;20,341935;null;
2012-01-31;5;5,9;33,4;26,332903;20,283871;null;
2012-02-29;7;19,8;33,341379;26,33931;20,455172;null;
2012-03-31;6;4,7;34,483871;26,847742;20,541935;null;
2012-04-30;4;7,2;32,99;26,206;19,846667;null;
2012-05-31;7;20,3;30,832258;24,788387;18,967742;null;
2012-06-30;10;26,7;29,84;23,804;17,8;null;
2012-07-31;7;24;28,954839;22,67871;16,141935;null;
2012-08-31;11;27,9;28,509677;22,229677;15,703226;null;
2012-09-30;1;1,3;31,193333;24,181333;17,353333;null;
2012-10-31;7;4,8;32,341935;24,956774;18,590323;null;
2012-11-30;6;36,9;31,9;25,850667;20,166667;null;
2012-12-31;2;1;34,664516;27,233548;20,045161;null;
2013-01-31;12;206,9;33,63871;26,930323;20,290323;null;
2013-02-28;3;9,8;33,760714;26,930714;20,267857;null;
2013-03-31;5;5,6;34,796774;27,469032;20,687097;null;
2013-04-30;6;7,9;32,76;26,456;20,151724;null;
2013-05-31;7;15,7;31,658065;25,315484;18,880645;null;
2013-06-30;15;21,1;29,88;23,959333;17,77;null;
2013-07-31;12;29,3;28,767742;22,980645;16,258065;null;
2013-08-31;18;25,8;28,980645;22,864516;16,032258;null;
2013-09-30;12;42;30,613333;23,744;16,866667;null;
2013-10-31;7;5,4;32,535484;25,218065;18,154839;null;
2013-11-30;11;49,1;32,533333;25,562667;18,68;null;
2013-12-31;10;154,8;31,822581;25,959355;19,367742;null;
2014-01-31;null;7,1;33,109677;26,030968;18,754839;null;
2014-02-28;null;55,3;31,985714;25,431429;18,542857;null;
2014-03-31;null;128,9;32,806452;25,859355;19,051613;null;
2014-04-30;null;29,4;32,913333;26,158667;18,986667;null;
2014-05-31;null;23,5;31,032258;24,636129;17,645161;null;
2014-06-30;null;24,4;29,906667;23,086667;14,693333;null;
2014-07-31;null;40;28,896774;22,611613;15,03871;null;
2014-08-31;null;5,5;29,522581;22,534194;14,4;null;
2014-09-30;null;18;30,76;23,685333;15,92;null;
2014-10-31;null;5,2;32,367742;24,744516;16,916129;null;
2014-11-30;null;87,5;31,973333;25,206667;17,666667;null;
2014-12-31;null;225,7;31,451613;24,892903;17,754839;null;
2015-01-31;null;5,6;33,368421;25,928421;18,064516;null;
